"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Cooper Kupp",LAR,"7","2 out of 5 stars","0"
"2",1,"Justin Jefferson",MIN,"7","2 out of 5 stars","0"
"3",1,"Ja'Marr Chase",CIN,"10","3 out of 5 stars","0"
"4",1,"Stefon Diggs",BUF,"7","4 out of 5 stars","+1"
"5",1,"Davante Adams",LV,"6","2 out of 5 stars","-1"
"6",2,"CeeDee Lamb",DAL,"9","3 out of 5 stars","+1"
"7",2,"Tyreek Hill",MIA,"11","2 out of 5 stars","+1"
"8",2,"Mike Evans",TB,"11","4 out of 5 stars","+1"
"9",2,"Keenan Allen",LAC,"8","3 out of 5 stars","+1"
"10",2,"Deebo Samuel",SF,"9","3 out of 5 stars","-4"
"11",3,"Tee Higgins",CIN,"10","3 out of 5 stars","+1"
"12",3,"Michael Pittman Jr.",IND,"14","4 out of 5 stars","+1"
"13",3,"A.J. Brown",PHI,"7","4 out of 5 stars","-2"
"14",3,"DJ Moore",CAR,"13","3 out of 5 stars","+2"
"15",3,"Diontae Johnson",PIT,"9","4 out of 5 stars","-1"
"16",3,"Jaylen Waddle",MIA,"11","2 out of 5 stars","-1"
"17",3,"Terry McLaurin",WAS,"14","4 out of 5 stars","0"
"18",3,"Brandin Cooks",HOU,"6","3 out of 5 stars","+2"
"19",4,"Mike Williams",LAC,"8","3 out of 5 stars","0"
"20",4,"DK Metcalf",SEA,"11","4 out of 5 stars","-2"
"21",4,"Courtland Sutton",DEN,"9","4 out of 5 stars","+5"
"22",4,"Marquise Brown",ARI,"13","2 out of 5 stars","+2"
"23",4,"Allen Robinson II",LAR,"7","2 out of 5 stars","+6"
"24",4,"Amari Cooper",CLE,"9","4 out of 5 stars","-2"
"25",4,"Darnell Mooney",CHI,"14","3 out of 5 stars","0"
"26",4,"Jerry Jeudy",DEN,"9","4 out of 5 stars","+1"
"27",4,"Rashod Bateman",BAL,"10","3 out of 5 stars","+11"
"28",4,"Chris Godwin",TB,"11","4 out of 5 stars","-7"
"29",4,"Amon-Ra St. Brown",DET,"6","3 out of 5 stars","-6"
"30",4,"Michael Thomas",NO,"14","4 out of 5 stars","+3"
"31",4,"JuJu Smith-Schuster",KC,"8","2 out of 5 stars","+5"
"32",5,"Elijah Moore",NYJ,"10","1 out of 5 stars","+2"
"33",5,"Adam Thielen",MIN,"7","2 out of 5 stars","-5"
"34",5,"Gabriel Davis",BUF,"7","4 out of 5 stars","-2"
"35",5,"DeVonta Smith",PHI,"7","4 out of 5 stars","0"
"36",5,"Hunter Renfrow",LV,"6","2 out of 5 stars","-6"
"37",5,"Tyler Lockett",SEA,"11","4 out of 5 stars","0"
"38",5,"Drake London",ATL,"14","4 out of 5 stars","+3"
"39",5,"Brandon Aiyuk",SF,"9","3 out of 5 stars","0"
"40",5,"Christian Kirk",JAC,"11","4 out of 5 stars","+2"
"41",5,"DeAndre Hopkins",ARI,"13","2 out of 5 stars","-10"
"42",5,"Robert Woods",TEN,"6","3 out of 5 stars","-2"
"43",5,"Allen Lazard",GB,"14","3 out of 5 stars","+2"
"44",5,"Kadarius Toney",NYG,"9","4 out of 5 stars","+4"
"45",5,"Treylon Burks",TEN,"6","3 out of 5 stars","-1"
"46",6,"Chase Claypool",PIT,"9","4 out of 5 stars","-3"
"47",6,"Russell Gage",TB,"11","4 out of 5 stars","-1"
"48",6,"Jakobi Meyers",NE,"10","4 out of 5 stars","+8"
"49",6,"Garrett Wilson",NYJ,"10","1 out of 5 stars","0"
"50",6,"Chris Olave",NO,"14","4 out of 5 stars","-3"
"51",6,"Tyler Boyd",CIN,"10","3 out of 5 stars","-1"
"52",6,"Skyy Moore",KC,"8","2 out of 5 stars","+1"
"53",6,"Rondale Moore",ARI,"13","2 out of 5 stars","+10"
